Nama Lengkap,ASAL SMA,PILIHAN 1,,PILIHAN 2,,PILIHAN 3,,NILAI UTBK 1,,NILAI UTBK 2,,
,SMA Perguruan Advent,UNIVERSITAS NEGERI SURABAYA,TEKNIK INFORMATIKA,UNIVERSITAS NEGERI SURABAYA,TEKNIK INFORMATIKA,UNIVERSITAS NEGERI SURABAYA,TEKNIK INFORMATIKA,327.0,306.0,820.0,247.0,
,SMA Pasundan 6,UNIVERSITAS NEGERI SURABAYA,GIZI,UNIVERSITAS NEGERI SURABAYA,GIZI,UNIVERSITAS NEGERI SURABAYA,GIZI,521.0,421.0,361.0,345.0,
,SMA NEGERI 1 BATANGAN,UNIVERSITAS NEGERI SURABAYA,PSIKOLOGI PENDIDIKAN DAN BIMBINGAN,UNIVERSITAS NEGERI SURABAYA,PSIKOLOGI PENDIDIKAN DAN BIMBINGAN,UNIVERSITAS NEGERI SURABAYA,PSIKOLOGI PENDIDIKAN DAN BIMBINGAN,384.0,422.0,236.0,209.0,
,SMA KP Cikalongwetan,UNIVERSITAS NEGERI SURABAYA,KURIKULUM DAN TEKNOLOGI PENDIDIKAN,UNIVERSITAS NEGERI SURABAYA,KURIKULUM DAN TEKNOLOGI PENDIDIKAN,UNIVERSITAS NEGERI SURABAYA,KURIKULUM DAN TEKNOLOGI PENDIDIKAN,792.0,359.0,594.0,784.0,
,SMA IKIP Veteran Ngemplak,UNIVERSITAS NEGERI SURABAYA,PENDIDIKAN LUAR SEKOLAH,UNIVERSITAS NEGERI SURABAYA,PENDIDIKAN LUAR SEKOLAH,UNIVERSITAS NEGERI SURABAYA,PENDIDIKAN LUAR SEKOLAH,173.0,247.0,482.0,852.0,
,SMK Negeri 1 Kunduran,UNIVERSITAS NEGERI SURABAYA,PENDI. LUAR BIASA,UNIVERSITAS NEGERI SURABAYA,PENDI. LUAR BIASA,UNIVERSITAS NEGERI SURABAYA,PENDI. LUAR BIASA,684.0,527.0,723.0,591.0,
,MAN 2 Sragen,UNIVERSITAS NEGERI SURABAYA,PGSD,UNIVERSITAS NEGERI SURABAYA,PGSD,UNIVERSITAS NEGERI SURABAYA,PGSD,612.0,617.0,111.0,396.0,
,SMA Negeri 2 Cepu,UNIVERSITAS NEGERI SURABAYA,PSIKOLOGI,UNIVERSITAS NEGERI SURABAYA,PSIKOLOGI,UNIVERSITAS NEGERI SURABAYA,PSIKOLOGI,235.0,598.0,264.0,478.0,
,SMA Negeri 1 Kota Serang,UNIVERSITAS NEGERI SURABAYA,PG-PAUD,UNIVERSITAS NEGERI SURABAYA,PG-PAUD,UNIVERSITAS NEGERI SURABAYA,PG-PAUD,468.0,604.0,199.0,547.0,
,SMA Darma Satria,UNIVERSITAS NEGERI SURABAYA,P. BAHASA DAN SASTRA INDONESIA,UNIVERSITAS NEGERI SURABAYA,P. BAHASA DAN SASTRA INDONESIA,UNIVERSITAS NEGERI SURABAYA,P. BAHASA DAN SASTRA INDONESIA,847.0,261.0,640.0,683.0,
,SMA Negeri 2 Banguntapan,UNIVERSITAS NEGERI SURABAYA,P. BAHASA INGGRIS,UNIVERSITAS NEGERI SURABAYA,P. BAHASA INGGRIS,UNIVERSITAS NEGERI SURABAYA,P. BAHASA INGGRIS,480.0,619.0,538.0,667.0,
,SMA Don Bosco 2 Pulomas,UNIVERSITAS NEGERI SURABAYA,P. BAHASA JERMAN,UNIVERSITAS NEGERI SURABAYA,P. BAHASA JERMAN,UNIVERSITAS NEGERI SURABAYA,P. BAHASA JERMAN,866.0,753.0,194.0,150.0,
,SMA Permata Indah,UNIVERSITAS NEGERI SURABAYA,P. BAHASA JEPANG,UNIVERSITAS NEGERI SURABAYA,P. BAHASA JEPANG,UNIVERSITAS NEGERI SURABAYA,P. BAHASA JEPANG,394.0,715.0,800.0,457.0,
,SMA Don Bosco 1,UNIVERSITAS NEGERI SURABAYA,P. BAHASA DAERAH (JAWA),UNIVERSITAS NEGERI SURABAYA,P. BAHASA DAERAH (JAWA),UNIVERSITAS NEGERI SURABAYA,P. BAHASA DAERAH (JAWA),828.0,339.0,582.0,260.0,
,SMA Santa Ursula,UNIVERSITAS NEGERI SURABAYA,P. SENI RUPA,UNIVERSITAS NEGERI SURABAYA,P. SENI RUPA,UNIVERSITAS NEGERI SURABAYA,P. SENI RUPA,176.0,170.0,797.0,178.0,
,SMA Katolik Santa Maria Tulungagung,UNIVERSITAS NEGERI SURABAYA,P. SENDRATASIK,UNIVERSITAS NEGERI SURABAYA,P. SENDRATASIK,UNIVERSITAS NEGERI SURABAYA,P. SENDRATASIK,257.0,826.0,575.0,163.0,
,SMA Darul Ulum 1 Unggulan BPPT,UNIVERSITAS NEGERI SURABAYA,SASTRA INDONESIA,UNIVERSITAS NEGERI SURABAYA,SASTRA INDONESIA,UNIVERSITAS NEGERI SURABAYA,SASTRA INDONESIA,240.0,816.0,768.0,229.0,
,SMA Charitas,UNIVERSITAS NEGERI SURABAYA,SASTRA INGGRIS,UNIVERSITAS NEGERI SURABAYA,SASTRA INGGRIS,UNIVERSITAS NEGERI SURABAYA,SASTRA INGGRIS,209.0,459.0,244.0,708.0,
,SMA Advent,UNIVERSITAS NEGERI SURABAYA,SASTRA JERMAN,UNIVERSITAS NEGERI SURABAYA,SASTRA JERMAN,UNIVERSITAS NEGERI SURABAYA,SASTRA JERMAN,637.0,596.0,171.0,406.0,
,SMA Kartini 1,UNIVERSITAS NEGERI SURABAYA,PEND. PANCASILA DAN KEWARGANEGARAAN,UNIVERSITAS NEGERI SURABAYA,PEND. PANCASILA DAN KEWARGANEGARAAN,UNIVERSITAS NEGERI SURABAYA,PEND. PANCASILA DAN KEWARGANEGARAAN,734.0,565.0,497.0,315.0,
,SMA Katolik St. Antonius,UNIVERSITAS NEGERI SURABAYA,P. GEOGRAFI,UNIVERSITAS NEGERI SURABAYA,P. GEOGRAFI,UNIVERSITAS NEGERI SURABAYA,P. GEOGRAFI,362.0,481.0,872.0,282.0,
,SMA NEGERI 1 Pleret,UNIVERSITAS NEGERI SURABAYA,PEND. SEJARAH,UNIVERSITAS NEGERI SURABAYA,PEND. SEJARAH,UNIVERSITAS NEGERI SURABAYA,PEND. SEJARAH,309.0,452.0,622.0,363.0,
,SMAK 1 BPK Penabur,UNIVERSITAS NEGERI SURABAYA,SOSIOLOGI,UNIVERSITAS NEGERI SURABAYA,SOSIOLOGI,UNIVERSITAS NEGERI SURABAYA,SOSIOLOGI,266.0,398.0,161.0,777.0,
,SMA Teladan 2,UNIVERSITAS NEGERI SURABAYA,ILMU ADMINISTRASI NEGARA,UNIVERSITAS NEGERI SURABAYA,ILMU ADMINISTRASI NEGARA,UNIVERSITAS NEGERI SURABAYA,ILMU ADMINISTRASI NEGARA,132.0,530.0,870.0,834.0,
,SMA Santo Paulus,UNIVERSITAS NEGERI SURABAYA,"PEND. JASMANI, KESEHATAN DAN REKREASI",UNIVERSITAS NEGERI SURABAYA,"PEND. JASMANI, KESEHATAN DAN REKREASI",UNIVERSITAS NEGERI SURABAYA,"PEND. JASMANI, KESEHATAN DAN REKREASI",371.0,673.0,674.0,733.0,
,SMA PKP,UNIVERSITAS NEGERI SURABAYA,PEND. KEPELATIHAN OLAHRAGA,UNIVERSITAS NEGERI SURABAYA,PEND. KEPELATIHAN OLAHRAGA,UNIVERSITAS NEGERI SURABAYA,PEND. KEPELATIHAN OLAHRAGA,138.0,161.0,113.0,813.0,
,SMA Negeri 8 Kabupaten Tangerang,UNIVERSITAS NEGERI SURABAYA,P. EKONOMI,UNIVERSITAS NEGERI SURABAYA,P. EKONOMI,UNIVERSITAS NEGERI SURABAYA,P. EKONOMI,530.0,290.0,683.0,249.0,
,SMA BPI 1,UNIVERSITAS NEGERI SURABAYA,MANAJEMEN,UNIVERSITAS NEGERI SURABAYA,MANAJEMEN,UNIVERSITAS NEGERI SURABAYA,MANAJEMEN,333.0,203.0,460.0,715.0,
,SMA YPK,UNIVERSITAS NEGERI SURABAYA,AKUNTANSI,UNIVERSITAS NEGERI SURABAYA,AKUNTANSI,UNIVERSITAS NEGERI SURABAYA,AKUNTANSI,440.0,750.0,344.0,806.0,
,SMA Negeri 2 Labuapi,UNIVERSITAS NEGERI SURABAYA,PEND. TATA RIAS,UNIVERSITAS NEGERI SURABAYA,PEND. TATA RIAS,UNIVERSITAS NEGERI SURABAYA,PEND. TATA RIAS,608.0,858.0,262.0,766.0,
,SMA Muhammadiyah 19,UNIVERSITAS NEGERI SURABAYA,MANAJEMEN PENDIDIKAN,UNIVERSITAS NEGERI SURABAYA,MANAJEMEN PENDIDIKAN,UNIVERSITAS NEGERI SURABAYA,MANAJEMEN PENDIDIKAN,880.0,223.0,613.0,191.0,
,SMA Negeri 2 Bantul,UNIVERSITAS NEGERI SURABAYA,ILMU HUKUM,UNIVERSITAS NEGERI SURABAYA,ILMU HUKUM,UNIVERSITAS NEGERI SURABAYA,ILMU HUKUM,211.0,586.0,285.0,620.0,
,SMA Dharma Mulya,UNIVERSITAS NEGERI SURABAYA,PEND. BAHASA MANDARIN,UNIVERSITAS NEGERI SURABAYA,PEND. BAHASA MANDARIN,UNIVERSITAS NEGERI SURABAYA,PEND. BAHASA MANDARIN,753.0,613.0,106.0,841.0,
,SMA Santa Ursula Lapangan Banteng/Jalan Pos,UNIVERSITAS NEGERI SURABAYA,PEND. TATA BOGA,UNIVERSITAS NEGERI SURABAYA,PEND. TATA BOGA,UNIVERSITAS NEGERI SURABAYA,PEND. TATA BOGA,468.0,187.0,352.0,651.0,
,SMA Santo Alexius,UNIVERSITAS NEGERI SURABAYA,PEND. TATA BUSANA,UNIVERSITAS NEGERI SURABAYA,PEND. TATA BUSANA,UNIVERSITAS NEGERI SURABAYA,PEND. TATA BUSANA,528.0,287.0,382.0,337.0,
,SMA Negeri 1 Banjarharja,UNIVERSITAS NEGERI SURABAYA,PEND. AKUNTANSI,UNIVERSITAS NEGERI SURABAYA,PEND. AKUNTANSI,UNIVERSITAS NEGERI SURABAYA,PEND. AKUNTANSI,419.0,216.0,821.0,471.0,
,SMA Kristen Bitung,UNIVERSITAS NEGERI SURABAYA,PEND. TATA NIAGA,UNIVERSITAS NEGERI SURABAYA,PEND. TATA NIAGA,UNIVERSITAS NEGERI SURABAYA,PEND. TATA NIAGA,669.0,589.0,742.0,738.0,
,SMAI Al Jihad,UNIVERSITAS NEGERI SURABAYA,PEND. ADM. PERKANTORAN,UNIVERSITAS NEGERI SURABAYA,PEND. ADM. PERKANTORAN,UNIVERSITAS NEGERI SURABAYA,PEND. ADM. PERKANTORAN,443.0,383.0,541.0,384.0,
,SMA Negeri 3 Bantul,UNIVERSITAS NEGERI SURABAYA,ILMU KOMUNIKASI,UNIVERSITAS NEGERI SURABAYA,ILMU KOMUNIKASI,UNIVERSITAS NEGERI SURABAYA,ILMU KOMUNIKASI,557.0,302.0,237.0,681.0,
,MAN 1 Surakarta,UNIVERSITAS NEGERI SURABAYA,SENI MUSIK,UNIVERSITAS NEGERI SURABAYA,SENI MUSIK,UNIVERSITAS NEGERI SURABAYA,SENI MUSIK,701.0,541.0,190.0,499.0,
,SMA NEGERI 3 PATI,UNIVERSITAS NEGERI SURABAYA,DESAIN KOMUNIKASI VISUAL,UNIVERSITAS NEGERI SURABAYA,DESAIN KOMUNIKASI VISUAL,UNIVERSITAS NEGERI SURABAYA,DESAIN KOMUNIKASI VISUAL,821.0,584.0,555.0,744.0,
,SMA Taruna Andhiga Bogor,UNIVERSITAS NEGERI SURABAYA,SENI RUPA MURNI,UNIVERSITAS NEGERI SURABAYA,SENI RUPA MURNI,UNIVERSITAS NEGERI SURABAYA,SENI RUPA MURNI,656.0,307.0,126.0,187.0,
,SMA Pangudi Luhur,UNIVERSITAS NEGERI SURABAYA,EKONOMI ISLAM,UNIVERSITAS NEGERI SURABAYA,EKONOMI ISLAM,UNIVERSITAS NEGERI SURABAYA,EKONOMI ISLAM,466.0,793.0,819.0,396.0,
,SMA N 1 Mlati,UNIVERSITAS NEGERI SURABAYA,PEND. ILMU PENGETAHUAN SOSIAL,UNIVERSITAS NEGERI SURABAYA,PEND. ILMU PENGETAHUAN SOSIAL,UNIVERSITAS NEGERI SURABAYA,PEND. ILMU PENGETAHUAN SOSIAL,453.0,410.0,282.0,465.0,
,SMA Negeri 3 Tangerang,UNIVERSITAS NEGERI SURABAYA,EKONOMI,UNIVERSITAS NEGERI SURABAYA,EKONOMI,UNIVERSITAS NEGERI SURABAYA,EKONOMI,856.0,679.0,823.0,645.0,
,SMA Budi Waluyo,UNIVERSITAS NEGERI SURABAYA,PEND. MATEMATIKA,UNIVERSITAS NEGERI SURABAYA,PEND. MATEMATIKA,UNIVERSITAS NEGERI SURABAYA,PEND. MATEMATIKA,348.0,297.0,146.0,439.0,
,SMA Negeri 99,UNIVERSITAS NEGERI SURABAYA,PEND. FISIKA,UNIVERSITAS NEGERI SURABAYA,PEND. FISIKA,UNIVERSITAS NEGERI SURABAYA,PEND. FISIKA,124.0,381.0,833.0,643.0,
,SMAN 1 Batujajar,UNIVERSITAS NEGERI SURABAYA,PEND. KIMIA,UNIVERSITAS NEGERI SURABAYA,PEND. KIMIA,UNIVERSITAS NEGERI SURABAYA,PEND. KIMIA,237.0,651.0,677.0,483.0,
,SMA Hutama,UNIVERSITAS NEGERI SURABAYA,PEND. BIOLOGI,UNIVERSITAS NEGERI SURABAYA,PEND. BIOLOGI,UNIVERSITAS NEGERI SURABAYA,PEND. BIOLOGI,693.0,603.0,328.0,325.0,
,SMA Negeri 1 Blitar,UNIVERSITAS NEGERI SURABAYA,MATEMATIKA,UNIVERSITAS NEGERI SURABAYA,MATEMATIKA,UNIVERSITAS NEGERI SURABAYA,MATEMATIKA,545.0,186.0,641.0,340.0,
,SMA Islam Haruniah,UNIVERSITAS NEGERI SURABAYA,FISIKA,UNIVERSITAS NEGERI SURABAYA,FISIKA,UNIVERSITAS NEGERI SURABAYA,FISIKA,373.0,427.0,391.0,265.0,
,SMK Bina Islam Mandiri,UNIVERSITAS NEGERI SURABAYA,KIMIA,UNIVERSITAS NEGERI SURABAYA,KIMIA,UNIVERSITAS NEGERI SURABAYA,KIMIA,811.0,318.0,365.0,365.0,
,SMA Negeri 1 Tambun Selatan,UNIVERSITAS NEGERI SURABAYA,BIOLOGI,UNIVERSITAS NEGERI SURABAYA,BIOLOGI,UNIVERSITAS NEGERI SURABAYA,BIOLOGI,846.0,852.0,643.0,108.0,
,SMALB Pangudi Luhur,UNIVERSITAS NEGERI SURABAYA,PEND. SAINS,UNIVERSITAS NEGERI SURABAYA,PEND. SAINS,UNIVERSITAS NEGERI SURABAYA,PEND. SAINS,647.0,613.0,159.0,366.0,
,SMA 17 Agustus 1945,UNIVERSITAS NEGERI SURABAYA,PEND. TEKNIK ELEKTRO,UNIVERSITAS NEGERI SURABAYA,PEND. TEKNIK ELEKTRO,UNIVERSITAS NEGERI SURABAYA,PEND. TEKNIK ELEKTRO,138.0,584.0,580.0,193.0,
,SMA Negeri 4 Blitar,UNIVERSITAS NEGERI SURABAYA,PEND. TEKNIK MESIN,UNIVERSITAS NEGERI SURABAYA,PEND. TEKNIK MESIN,UNIVERSITAS NEGERI SURABAYA,PEND. TEKNIK MESIN,601.0,774.0,541.0,372.0,
,SMA Muthahhari,UNIVERSITAS NEGERI SURABAYA,PEND. TEKNIK BANGUNAN,UNIVERSITAS NEGERI SURABAYA,PEND. TEKNIK BANGUNAN,UNIVERSITAS NEGERI SURABAYA,PEND. TEKNIK BANGUNAN,281.0,455.0,249.0,606.0,
,SMA Mangga Besar,UNIVERSITAS NEGERI SURABAYA,ILMU KEOLAHRAGAAN,UNIVERSITAS NEGERI SURABAYA,ILMU KEOLAHRAGAAN,UNIVERSITAS NEGERI SURABAYA,ILMU KEOLAHRAGAAN,772.0,290.0,566.0,830.0,
,SMA Muhammadiyah Tonjong,UNIVERSITAS NEGERI SURABAYA,TEKNIK SIPIL,UNIVERSITAS NEGERI SURABAYA,TEKNIK SIPIL,UNIVERSITAS NEGERI SURABAYA,TEKNIK SIPIL,609.0,142.0,519.0,674.0,
,SMA Islam 1,UNIVERSITAS NEGERI SURABAYA,PENDIDIKAN TEKNOLOGI INFORMASI,UNIVERSITAS NEGERI SURABAYA,PENDIDIKAN TEKNOLOGI INFORMASI,UNIVERSITAS NEGERI SURABAYA,PENDIDIKAN TEKNOLOGI INFORMASI,591.0,800.0,253.0,411.0,
,SMA Negeri 82,UNIVERSITAS NEGERI SURABAYA,TEKNIK ELEKTRO,UNIVERSITAS NEGERI SURABAYA,TEKNIK ELEKTRO,UNIVERSITAS NEGERI SURABAYA,TEKNIK ELEKTRO,175.0,777.0,243.0,782.0,
,SMA Santu Petrus Pontianak,UNIVERSITAS NEGERI SURABAYA,TEKNIK MESIN,UNIVERSITAS NEGERI SURABAYA,TEKNIK MESIN,UNIVERSITAS NEGERI SURABAYA,TEKNIK MESIN,674.0,766.0,652.0,302.0,
,SMA Negeri 4 Purworejo,UNIVERSITAS NEGERI SURABAYA,SISTEM INFORMASI,UNIVERSITAS NEGERI SURABAYA,SISTEM INFORMASI,UNIVERSITAS NEGERI SURABAYA,SISTEM INFORMASI,224.0,188.0,208.0,240.0,
,SMA Yos Sudarso Padang,UNIVERSITAS NEGERI SURABAYA,TEKNIK INFORMATIKA,UNIVERSITAS NEGERI SURABAYA,TEKNIK INFORMATIKA,UNIVERSITAS NEGERI SURABAYA,TEKNIK INFORMATIKA,344.0,501.0,895.0,464.0,
,SMA Negeri 3,UNIVERSITAS NEGERI SURABAYA,GIZI,UNIVERSITAS NEGERI SURABAYA,GIZI,UNIVERSITAS NEGERI SURABAYA,GIZI,844.0,407.0,452.0,184.0,
,SMA Muhammadiyah 1,UNIVERSITAS NEGERI SURABAYA,PSIKOLOGI PENDIDIKAN DAN BIMBINGAN,UNIVERSITAS NEGERI SURABAYA,PSIKOLOGI PENDIDIKAN DAN BIMBINGAN,UNIVERSITAS NEGERI SURABAYA,PSIKOLOGI PENDIDIKAN DAN BIMBINGAN,561.0,491.0,461.0,805.0,
,SMA Santa Theresia,UNIVERSITAS NEGERI SURABAYA,KURIKULUM DAN TEKNOLOGI PENDIDIKAN,UNIVERSITAS NEGERI SURABAYA,KURIKULUM DAN TEKNOLOGI PENDIDIKAN,UNIVERSITAS NEGERI SURABAYA,KURIKULUM DAN TEKNOLOGI PENDIDIKAN,557.0,472.0,246.0,618.0,
,SMA Negeri 1 Bantarkawung,UNIVERSITAS NEGERI SURABAYA,PENDIDIKAN LUAR SEKOLAH,UNIVERSITAS NEGERI SURABAYA,PENDIDIKAN LUAR SEKOLAH,UNIVERSITAS NEGERI SURABAYA,PENDIDIKAN LUAR SEKOLAH,842.0,151.0,265.0,821.0,
,SMA Muhammadiyah 3,UNIVERSITAS NEGERI SURABAYA,PENDI. LUAR BIASA,UNIVERSITAS NEGERI SURABAYA,PENDI. LUAR BIASA,UNIVERSITAS NEGERI SURABAYA,PENDI. LUAR BIASA,207.0,701.0,158.0,618.0,
,SMA Kristen Widya Wacana,UNIVERSITAS NEGERI SURABAYA,PGSD,UNIVERSITAS NEGERI SURABAYA,PGSD,UNIVERSITAS NEGERI SURABAYA,PGSD,406.0,187.0,314.0,809.0,
,MA Al Hikmah,UNIVERSITAS NEGERI SURABAYA,PSIKOLOGI,UNIVERSITAS NEGERI SURABAYA,PSIKOLOGI,UNIVERSITAS NEGERI SURABAYA,PSIKOLOGI,688.0,269.0,264.0,552.0,
,SMA Kolombo Depok,UNIVERSITAS NEGERI SURABAYA,PG-PAUD,UNIVERSITAS NEGERI SURABAYA,PG-PAUD,UNIVERSITAS NEGERI SURABAYA,PG-PAUD,306.0,539.0,581.0,174.0,
,SMA Yaspin Rajeg,UNIVERSITAS NEGERI SURABAYA,P. BAHASA DAN SASTRA INDONESIA,UNIVERSITAS NEGERI SURABAYA,P. BAHASA DAN SASTRA INDONESIA,UNIVERSITAS NEGERI SURABAYA,P. BAHASA DAN SASTRA INDONESIA,840.0,828.0,113.0,461.0,
,MA Al Wathoniyah 14,UNIVERSITAS NEGERI SURABAYA,P. BAHASA INGGRIS,UNIVERSITAS NEGERI SURABAYA,P. BAHASA INGGRIS,UNIVERSITAS NEGERI SURABAYA,P. BAHASA INGGRIS,507.0,304.0,147.0,822.0,
,SMA Siwa Padang,UNIVERSITAS NEGERI SURABAYA,P. BAHASA JERMAN,UNIVERSITAS NEGERI SURABAYA,P. BAHASA JERMAN,UNIVERSITAS NEGERI SURABAYA,P. BAHASA JERMAN,760.0,217.0,425.0,121.0,
,SMA YASPORBI 1,UNIVERSITAS NEGERI SURABAYA,P. BAHASA JEPANG,UNIVERSITAS NEGERI SURABAYA,P. BAHASA JEPANG,UNIVERSITAS NEGERI SURABAYA,P. BAHASA JEPANG,890.0,375.0,845.0,285.0,
,SMA Negeri 5 Tangerang,UNIVERSITAS NEGERI SURABAYA,P. BAHASA DAERAH (JAWA),UNIVERSITAS NEGERI SURABAYA,P. BAHASA DAERAH (JAWA),UNIVERSITAS NEGERI SURABAYA,P. BAHASA DAERAH (JAWA),495.0,418.0,599.0,736.0,
,SMA Bunga Hati Bangsa,UNIVERSITAS NEGERI SURABAYA,P. SENI RUPA,UNIVERSITAS NEGERI SURABAYA,P. SENI RUPA,UNIVERSITAS NEGERI SURABAYA,P. SENI RUPA,594.0,671.0,895.0,576.0,
,SMA Chandra Kusuma,UNIVERSITAS NEGERI SURABAYA,P. SENDRATASIK,UNIVERSITAS NEGERI SURABAYA,P. SENDRATASIK,UNIVERSITAS NEGERI SURABAYA,P. SENDRATASIK,615.0,142.0,310.0,161.0,
,SMA Wijaya Kusuma,UNIVERSITAS NEGERI SURABAYA,SASTRA INDONESIA,UNIVERSITAS NEGERI SURABAYA,SASTRA INDONESIA,UNIVERSITAS NEGERI SURABAYA,SASTRA INDONESIA,221.0,459.0,155.0,806.0,
,SMA Negeri 1 Kesamben,UNIVERSITAS NEGERI SURABAYA,SASTRA INGGRIS,UNIVERSITAS NEGERI SURABAYA,SASTRA INGGRIS,UNIVERSITAS NEGERI SURABAYA,SASTRA INGGRIS,458.0,667.0,190.0,324.0,
,SMA Yos Sudarso,UNIVERSITAS NEGERI SURABAYA,SASTRA JERMAN,UNIVERSITAS NEGERI SURABAYA,SASTRA JERMAN,UNIVERSITAS NEGERI SURABAYA,SASTRA JERMAN,397.0,235.0,691.0,325.0,
,SMA Katolik Xaverius Sawahlunto,UNIVERSITAS NEGERI SURABAYA,PEND. PANCASILA DAN KEWARGANEGARAAN,UNIVERSITAS NEGERI SURABAYA,PEND. PANCASILA DAN KEWARGANEGARAAN,UNIVERSITAS NEGERI SURABAYA,PEND. PANCASILA DAN KEWARGANEGARAAN,446.0,150.0,595.0,274.0,
,SMA Negeri 37,UNIVERSITAS NEGERI SURABAYA,P. GEOGRAFI,UNIVERSITAS NEGERI SURABAYA,P. GEOGRAFI,UNIVERSITAS NEGERI SURABAYA,P. GEOGRAFI,900.0,324.0,107.0,270.0,
,SMA Negeri 5 Semarang,UNIVERSITAS NEGERI SURABAYA,PEND. SEJARAH,UNIVERSITAS NEGERI SURABAYA,PEND. SEJARAH,UNIVERSITAS NEGERI SURABAYA,PEND. SEJARAH,712.0,766.0,297.0,669.0,
,SMAN 1 Plumbon,UNIVERSITAS NEGERI SURABAYA,SOSIOLOGI,UNIVERSITAS NEGERI SURABAYA,SOSIOLOGI,UNIVERSITAS NEGERI SURABAYA,SOSIOLOGI,123.0,610.0,746.0,579.0,
,SMA Fajar Baru Indah,UNIVERSITAS NEGERI SURABAYA,ILMU ADMINISTRASI NEGARA,UNIVERSITAS NEGERI SURABAYA,ILMU ADMINISTRASI NEGARA,UNIVERSITAS NEGERI SURABAYA,ILMU ADMINISTRASI NEGARA,467.0,805.0,481.0,469.0,
,SMA Negeri 22 Kabupaten Tangerang,UNIVERSITAS NEGERI SURABAYA,"PEND. JASMANI, KESEHATAN DAN REKREASI",UNIVERSITAS NEGERI SURABAYA,"PEND. JASMANI, KESEHATAN DAN REKREASI",UNIVERSITAS NEGERI SURABAYA,"PEND. JASMANI, KESEHATAN DAN REKREASI",131.0,227.0,874.0,634.0,
,MAN 2 Surakarta,UNIVERSITAS NEGERI SURABAYA,PEND. KEPELATIHAN OLAHRAGA,UNIVERSITAS NEGERI SURABAYA,PEND. KEPELATIHAN OLAHRAGA,UNIVERSITAS NEGERI SURABAYA,PEND. KEPELATIHAN OLAHRAGA,165.0,754.0,294.0,845.0,
,SMK Amaliah 1,UNIVERSITAS NEGERI SURABAYA,P. EKONOMI,UNIVERSITAS NEGERI SURABAYA,P. EKONOMI,UNIVERSITAS NEGERI SURABAYA,P. EKONOMI,213.0,673.0,705.0,371.0,
,SMA PSKD Mandiri,UNIVERSITAS NEGERI SURABAYA,MANAJEMEN,UNIVERSITAS NEGERI SURABAYA,MANAJEMEN,UNIVERSITAS NEGERI SURABAYA,MANAJEMEN,472.0,734.0,405.0,328.0,
,SMAK Bintang Kejora,UNIVERSITAS NEGERI SURABAYA,AKUNTANSI,UNIVERSITAS NEGERI SURABAYA,AKUNTANSI,UNIVERSITAS NEGERI SURABAYA,AKUNTANSI,798.0,751.0,288.0,479.0,
,SMAK Kasih Karunia,UNIVERSITAS NEGERI SURABAYA,PEND. TATA RIAS,UNIVERSITAS NEGERI SURABAYA,PEND. TATA RIAS,UNIVERSITAS NEGERI SURABAYA,PEND. TATA RIAS,589.0,844.0,629.0,151.0,
,SMA Kristen Elyon Surabaya,UNIVERSITAS NEGERI SURABAYA,MANAJEMEN PENDIDIKAN,UNIVERSITAS NEGERI SURABAYA,MANAJEMEN PENDIDIKAN,UNIVERSITAS NEGERI SURABAYA,MANAJEMEN PENDIDIKAN,243.0,610.0,389.0,496.0,
,SMA Mandala Bhakti Depok,UNIVERSITAS NEGERI SURABAYA,ILMU HUKUM,UNIVERSITAS NEGERI SURABAYA,ILMU HUKUM,UNIVERSITAS NEGERI SURABAYA,ILMU HUKUM,326.0,758.0,378.0,746.0,
,SMA YAPPENDA,UNIVERSITAS NEGERI SURABAYA,PEND. BAHASA MANDARIN,UNIVERSITAS NEGERI SURABAYA,PEND. BAHASA MANDARIN,UNIVERSITAS NEGERI SURABAYA,PEND. BAHASA MANDARIN,582.0,719.0,429.0,841.0,
,SMA Negeri 1 Pagerbarang,UNIVERSITAS NEGERI SURABAYA,PEND. TATA BOGA,UNIVERSITAS NEGERI SURABAYA,PEND. TATA BOGA,UNIVERSITAS NEGERI SURABAYA,PEND. TATA BOGA,159.0,825.0,342.0,649.0,
,SMA Negeri 1 Wates,UNIVERSITAS NEGERI SURABAYA,PEND. TATA BUSANA,UNIVERSITAS NEGERI SURABAYA,PEND. TATA BUSANA,UNIVERSITAS NEGERI SURABAYA,PEND. TATA BUSANA,355.0,377.0,113.0,180.0,
,SMA Santo Bellarminus Menteng,UNIVERSITAS NEGERI SURABAYA,PEND. AKUNTANSI,UNIVERSITAS NEGERI SURABAYA,PEND. AKUNTANSI,UNIVERSITAS NEGERI SURABAYA,PEND. AKUNTANSI,287.0,777.0,686.0,226.0,
,SMA Katolik Xaverius Padang,UNIVERSITAS NEGERI SURABAYA,PEND. TATA NIAGA,UNIVERSITAS NEGERI SURABAYA,PEND. TATA NIAGA,UNIVERSITAS NEGERI SURABAYA,PEND. TATA NIAGA,314.0,230.0,407.0,720.0,
,SMA Unggulan Citra Nusa,UNIVERSITAS NEGERI SURABAYA,PEND. ADM. PERKANTORAN,UNIVERSITAS NEGERI SURABAYA,PEND. ADM. PERKANTORAN,UNIVERSITAS NEGERI SURABAYA,PEND. ADM. PERKANTORAN,822.0,538.0,194.0,178.0,
